valence,arousal,id,part,repeat,filepath
0,1,piece_0,0,-1,phrases/split_1/Final_Fantasy_7_LurkingInTheDarkness_0.mid
0,1,piece_0,0,-1,phrases/split_2/Final_Fantasy_7_LurkingInTheDarkness_0.mid
0,1,piece_0,1,-1,phrases/split_2/Final_Fantasy_7_LurkingInTheDarkness_1.mid
0,1,piece_0,0,-1,phrases/split_4/Final_Fantasy_7_LurkingInTheDarkness_0.mid
0,1,piece_0,1,-1,phrases/split_4/Final_Fantasy_7_LurkingInTheDarkness_1.mid
0,1,piece_0,2,-1,phrases/split_4/Final_Fantasy_7_LurkingInTheDarkness_2.mid
0,1,piece_0,3,-1,phrases/split_4/Final_Fantasy_7_LurkingInTheDarkness_3.mid
0,1,piece_0,0,-1,phrases/split_8/Final_Fantasy_7_LurkingInTheDarkness_0.mid
0,1,piece_0,1,-1,phrases/split_8/Final_Fantasy_7_LurkingInTheDarkness_1.mid
0,1,piece_0,2,-1,phrases/split_8/Final_Fantasy_7_LurkingInTheDarkness_2.mid
0,1,piece_0,3,-1,phrases/split_8/Final_Fantasy_7_LurkingInTheDarkness_3.mid
0,1,piece_0,4,-1,phrases/split_8/Final_Fantasy_7_LurkingInTheDarkness_4.mid
0,1,piece_0,5,-1,phrases/split_8/Final_Fantasy_7_LurkingInTheDarkness_5.mid
0,1,piece_0,6,-1,phrases/split_8/Final_Fantasy_7_LurkingInTheDarkness_6.mid
0,1,piece_0,7,-1,phrases/split_8/Final_Fantasy_7_LurkingInTheDarkness_7.mid
0,1,piece_0,0,-1,phrases/split_16/Final_Fantasy_7_LurkingInTheDarkness_0.mid
0,1,piece_0,1,-1,phrases/split_16/Final_Fantasy_7_LurkingInTheDarkness_1.mid
0,1,piece_0,2,-1,phrases/split_16/Final_Fantasy_7_LurkingInTheDarkness_2.mid
0,1,piece_0,3,-1,phrases/split_16/Final_Fantasy_7_LurkingInTheDarkness_3.mid
0,1,piece_0,4,-1,phrases/split_16/Final_Fantasy_7_LurkingInTheDarkness_4.mid
0,1,piece_0,5,-1,phrases/split_16/Final_Fantasy_7_LurkingInTheDarkness_5.mid
0,1,piece_0,6,-1,phrases/split_16/Final_Fantasy_7_LurkingInTheDarkness_6.mid
0,1,piece_0,7,-1,phrases/split_16/Final_Fantasy_7_LurkingInTheDarkness_7.mid
0,1,piece_0,8,-1,phrases/split_16/Final_Fantasy_7_LurkingInTheDarkness_8.mid
0,1,piece_0,9,-1,phrases/split_16/Final_Fantasy_7_LurkingInTheDarkness_9.mid
0,1,piece_0,10,-1,phrases/split_16/Final_Fantasy_7_LurkingInTheDarkness_10.mid
0,1,piece_0,11,-1,phrases/split_16/Final_Fantasy_7_LurkingInTheDarkness_11.mid
0,1,piece_0,12,-1,phrases/split_16/Final_Fantasy_7_LurkingInTheDarkness_12.mid
0,1,piece_0,13,-1,phrases/split_16/Final_Fantasy_7_LurkingInTheDarkness_13.mid
0,1,piece_0,14,-1,phrases/split_16/Final_Fantasy_7_LurkingInTheDarkness_14.mid
0,1,piece_0,15,-1,phrases/split_16/Final_Fantasy_7_LurkingInTheDarkness_15.mid
1,0,piece_1,0,-1,phrases/split_1/Final_Fantasy_7_Continue_0.mid
1,0,piece_1,0,-1,phrases/split_2/Final_Fantasy_7_Continue_0.mid
1,0,piece_1,1,-1,phrases/split_2/Final_Fantasy_7_Continue_1.mid
1,0,piece_1,2,-1,phrases/split_2/Final_Fantasy_7_Continue_2.mid
1,0,piece_1,0,-1,phrases/split_4/Final_Fantasy_7_Continue_0.mid
1,0,piece_1,1,-1,phrases/split_4/Final_Fantasy_7_Continue_1.mid
1,0,piece_1,2,-1,phrases/split_4/Final_Fantasy_7_Continue_2.mid
1,0,piece_1,3,-1,phrases/split_4/Final_Fantasy_7_Continue_3.mid
1,0,piece_1,4,-1,phrases/split_4/Final_Fantasy_7_Continue_4.mid
1,0,piece_1,0,-1,phrases/split_8/Final_Fantasy_7_Continue_0.mid
1,0,piece_1,1,-1,phrases/split_8/Final_Fantasy_7_Continue_1.mid
1,0,piece_1,2,-1,phrases/split_8/Final_Fantasy_7_Continue_2.mid
1,0,piece_1,3,-1,phrases/split_8/Final_Fantasy_7_Continue_3.mid
1,0,piece_1,4,-1,phrases/split_8/Final_Fantasy_7_Continue_4.mid
1,0,piece_1,5,-1,phrases/split_8/Final_Fantasy_7_Continue_5.mid
1,0,piece_1,6,-1,phrases/split_8/Final_Fantasy_7_Continue_6.mid
1,0,piece_1,7,-1,phrases/split_8/Final_Fantasy_7_Continue_7.mid
1,0,piece_1,8,-1,phrases/split_8/Final_Fantasy_7_Continue_8.mid
1,0,piece_1,0,-1,phrases/split_16/Final_Fantasy_7_Continue_0.mid
1,0,piece_1,1,-1,phrases/split_16/Final_Fantasy_7_Continue_1.mid
1,0,piece_1,2,-1,phrases/split_16/Final_Fantasy_7_Continue_2.mid
1,0,piece_1,3,-1,phrases/split_16/Final_Fantasy_7_Continue_3.mid
1,0,piece_1,4,-1,phrases/split_16/Final_Fantasy_7_Continue_4.mid
1,0,piece_1,5,-1,phrases/split_16/Final_Fantasy_7_Continue_5.mid
1,0,piece_1,6,-1,phrases/split_16/Final_Fantasy_7_Continue_6.mid
1,0,piece_1,7,-1,phrases/split_16/Final_Fantasy_7_Continue_7.mid
1,0,piece_1,8,-1,phrases/split_16/Final_Fantasy_7_Continue_8.mid
1,0,piece_1,9,-1,phrases/split_16/Final_Fantasy_7_Continue_9.mid
1,0,piece_1,10,-1,phrases/split_16/Final_Fantasy_7_Continue_10.mid
1,0,piece_1,11,-1,phrases/split_16/Final_Fantasy_7_Continue_11.mid
1,0,piece_1,12,-1,phrases/split_16/Final_Fantasy_7_Continue_12.mid
1,0,piece_1,13,-1,phrases/split_16/Final_Fantasy_7_Continue_13.mid
1,0,piece_1,14,-1,phrases/split_16/Final_Fantasy_7_Continue_14.mid
1,0,piece_1,15,-1,phrases/split_16/Final_Fantasy_7_Continue_15.mid
1,0,piece_1,16,-1,phrases/split_16/Final_Fantasy_7_Continue_16.mid
1,0,piece_1,17,-1,phrases/split_16/Final_Fantasy_7_Continue_17.mid
1,0,piece_1,18,-1,phrases/split_16/Final_Fantasy_7_Continue_18.mid
1,0,piece_1,19,-1,phrases/split_16/Final_Fantasy_7_Continue_19.mid
1,0,piece_1,20,-1,phrases/split_16/Final_Fantasy_7_Continue_20.mid
1,0,piece_1,21,-1,phrases/split_16/Final_Fantasy_7_Continue_21.mid
1,0,piece_1,22,-1,phrases/split_16/Final_Fantasy_7_Continue_22.mid
1,0,piece_1,23,-1,phrases/split_16/Final_Fantasy_7_Continue_23.mid
1,0,piece_1,24,-1,phrases/split_16/Final_Fantasy_7_Continue_24.mid
1,0,piece_4,0,-1,phrases/split_1/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_0.mid
1,0,piece_4,0,-1,phrases/split_2/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_0.mid
1,0,piece_4,1,-1,phrases/split_2/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_1.mid
1,0,piece_4,0,-1,phrases/split_4/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_0.mid
1,0,piece_4,1,-1,phrases/split_4/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_1.mid
1,0,piece_4,2,-1,phrases/split_4/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_2.mid
1,0,piece_4,3,-1,phrases/split_4/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_3.mid
1,0,piece_4,4,-1,phrases/split_4/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_4.mid
1,0,piece_4,0,-1,phrases/split_8/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_0.mid
1,0,piece_4,1,-1,phrases/split_8/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_1.mid
1,0,piece_4,2,-1,phrases/split_8/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_2.mid
1,0,piece_4,3,-1,phrases/split_8/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_3.mid
1,0,piece_4,4,-1,phrases/split_8/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_4.mid
1,0,piece_4,5,-1,phrases/split_8/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_5.mid
1,0,piece_4,6,-1,phrases/split_8/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_6.mid
1,0,piece_4,7,-1,phrases/split_8/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_7.mid
1,0,piece_4,8,-1,phrases/split_8/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_8.mid
1,0,piece_4,0,-1,phrases/split_16/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_0.mid
1,0,piece_4,1,-1,phrases/split_16/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_1.mid
1,0,piece_4,2,-1,phrases/split_16/Final_Fantasy_7_HoldingMyThoughtsinMyHeart_2.mid
